step,hours,S0,S1,S2,Ncells
11,5.5,739.0,1.4181326116373478,2.6332882273342353,1048.0
33,16.5,682.0,1.6935483870967742,4.027859237536657,1155.0
37,18.5,669.0,1.7548579970104634,4.343796711509716,1174.0
46,23.0,647.0,1.8918083462132922,5.106646058732612,1224.0
49,24.5,638.0,1.945141065830721,5.440438871473354,1241.0
54,27.0,633.0,2.007898894154818,5.8530805687203795,1271.0
55,27.5,633.0,2.014218009478673,5.909952606635071,1275.0
57,28.5,630.0,2.0507936507936506,6.133333333333334,1292.0
60,30.0,627.0,2.0893141945773523,6.558213716108453,1310.0
64,32.0,622.0,2.1559485530546625,6.998392282958199,1341.0
68,34.0,616.0,2.2240259740259742,7.48051948051948,1370.0
80,40.0,598.0,2.4665551839464883,9.533444816053512,1475.0
81,40.5,598.0,2.479933110367893,9.653846153846153,1483.0
89,44.5,585.0,2.6547008547008546,11.177777777777777,1553.0
94,47.0,581.0,2.7280550774526677,11.82960413080895,1585.0
101,50.5,570.0,2.875438596491228,13.345614035087719,1639.0
103,51.5,566.0,2.9363957597173145,13.964664310954063,1662.0
104,52.0,566.0,2.954063604240283,14.095406360424029,1672.0
122,61.0,540.0,3.4203703703703705,19.401851851851852,1847.0
131,65.5,527.0,3.683111954459203,22.787476280834916,1941.0
136,68.0,521.0,3.796545105566219,24.18042226487524,1978.0
139,69.5,515.0,3.9009708737864077,26.281553398058254,2009.0
141,70.5,514.0,3.9474708171206228,27.03696498054475,2029.0
143,71.5,511.0,4.0,27.679060665362034,2044.0
144,72.0,511.0,4.007827788649706,27.761252446183953,2048.0
