step,hours,S0,S1,S2,Ncells
17,8.5,691.0,1.5658465991316932,3.267727930535456,1082.0
37,18.5,634.0,1.9006309148264984,5.212933753943218,1205.0
45,22.5,623.0,1.9967897271268058,5.836276083467094,1244.0
50,25.0,614.0,2.0651465798045603,6.280130293159609,1268.0
53,26.5,609.0,2.129720853858785,6.786535303776683,1297.0
55,27.5,607.0,2.1647446457990114,7.0543657331136735,1314.0
70,35.0,581.0,2.4457831325301207,9.461273666092943,1421.0
72,36.0,580.0,2.4689655172413794,9.63103448275862,1432.0
82,41.0,565.0,2.686725663716814,11.794690265486725,1518.0
84,42.0,562.0,2.7295373665480427,12.124555160142348,1534.0
87,43.5,560.0,2.780357142857143,12.705357142857142,1557.0
90,45.0,557.0,2.8402154398563733,13.314183123877918,1582.0
97,48.5,549.0,2.9617486338797816,14.597449908925318,1626.0
101,50.5,543.0,3.0478821362799264,15.755064456721914,1655.0
104,52.0,541.0,3.1072088724584104,16.45656192236599,1681.0
105,52.5,541.0,3.1072088724584104,16.45656192236599,1681.0
107,53.5,539.0,3.1484230055658626,16.951762523191096,1697.0
109,54.5,538.0,3.184014869888476,17.388475836431226,1713.0
111,55.5,535.0,3.2242990654205608,17.762616822429905,1725.0
113,56.5,532.0,3.2781954887218046,18.458646616541355,1744.0
121,60.5,518.0,3.5193050193050195,21.43822393822394,1823.0
123,61.5,516.0,3.5717054263565893,22.25,1843.0
125,62.5,515.0,3.61747572815534,22.96504854368932,1863.0
127,63.5,513.0,3.668615984405458,23.808966861598442,1882.0
131,65.5,506.0,3.802371541501976,25.56916996047431,1924.0
132,66.0,506.0,3.822134387351779,25.82608695652174,1934.0
137,68.5,501.0,3.946107784431138,27.882235528942115,1977.0
138,69.0,501.0,3.968063872255489,28.255489021956087,1988.0
144,72.0,492.0,4.146341463414634,31.04471544715447,2040.0
