step,hours,S0,S1,S2,Ncells
10,5.0,724.0,1.4502762430939227,2.856353591160221,1050.0
13,6.5,721.0,1.4854368932038835,3.0110957004160888,1071.0
20,10.0,710.0,1.5577464788732394,3.428169014084507,1106.0
22,11.0,708.0,1.5861581920903955,3.5833333333333335,1123.0
29,14.5,702.0,1.6524216524216524,3.9515669515669516,1160.0
33,16.5,696.0,1.7112068965517242,4.308908045977011,1191.0
37,18.5,688.0,1.7645348837209303,4.680232558139535,1214.0
39,19.5,686.0,1.7915451895043732,4.864431486880466,1229.0
40,20.0,686.0,1.8017492711370262,4.921282798833819,1236.0
41,20.5,686.0,1.8075801749271136,4.982507288629738,1240.0
42,21.0,686.0,1.813411078717201,5.0087463556851315,1244.0
43,21.5,686.0,1.8206997084548104,5.053935860058309,1249.0
44,22.0,686.0,1.8250728862973762,5.075801749271137,1252.0
59,29.5,662.0,2.0422960725075527,6.782477341389728,1352.0
63,31.5,660.0,2.096969696969697,7.239393939393939,1384.0
66,33.0,657.0,2.1354642313546424,7.4779299847792995,1403.0
71,35.5,654.0,2.2048929663608563,8.009174311926605,1442.0
73,36.5,653.0,2.237366003062787,8.29249617151608,1461.0
74,37.0,653.0,2.25114854517611,8.419601837672282,1470.0
76,38.0,649.0,2.295839753466872,8.865947611710324,1490.0
79,39.5,649.0,2.3389830508474576,9.248073959938367,1518.0
83,41.5,645.0,2.393798449612403,9.73953488372093,1544.0
84,42.0,645.0,2.4031007751937983,9.872868217054263,1550.0
87,43.5,642.0,2.4626168224299065,10.28816199376947,1581.0
89,44.5,640.0,2.496875,10.603125,1598.0
91,45.5,639.0,2.5226917057902973,10.807511737089202,1612.0
92,46.0,639.0,2.5289514866979657,10.841940532081377,1616.0
93,46.5,639.0,2.539906103286385,10.937402190923319,1623.0
98,49.0,634.0,2.6198738170347005,11.938485804416404,1661.0
101,50.5,631.0,2.676703645007924,12.530903328050712,1689.0
104,52.0,628.0,2.729299363057325,13.13375796178344,1714.0
106,53.0,626.0,2.7619808306709266,13.391373801916933,1729.0
111,55.5,622.0,2.8585209003215435,14.479099678456592,1778.0
113,56.5,621.0,2.888888888888889,14.798711755233494,1794.0
115,57.5,620.0,2.9161290322580644,15.158064516129032,1808.0
120,60.0,610.0,3.0327868852459017,16.511475409836066,1850.0
122,61.0,609.0,3.0673234811165844,16.922824302134647,1868.0
127,63.5,600.0,3.1783333333333332,18.468333333333334,1907.0
130,65.0,598.0,3.2441471571906355,19.82943143812709,1940.0
139,69.5,592.0,3.4510135135135136,22.55912162162162,2043.0
140,70.0,592.0,3.4746621621621623,22.95439189189189,2057.0
144,72.0,589.0,3.570458404074703,24.881154499151105,2103.0
