step,hours,S0,S1,S2,Ncells
17,8.5,694.0,1.5461095100864553,3.3011527377521612,1073.0
27,13.5,668.0,1.6721556886227544,4.043413173652695,1117.0
29,14.5,667.0,1.6851574212893554,4.101949025487256,1124.0
45,22.5,633.0,1.9099526066350712,5.420221169036335,1209.0
48,24.0,633.0,1.9415481832543444,5.590837282780411,1229.0
51,25.5,630.0,1.9793650793650794,5.858730158730158,1247.0
52,26.0,630.0,1.992063492063492,5.966666666666667,1255.0
56,28.0,623.0,2.0513643659711076,6.340288924558587,1278.0
58,29.0,622.0,2.0707395498392285,6.511254019292605,1288.0
62,31.0,619.0,2.1179321486268177,6.8739903069466886,1311.0
67,33.5,613.0,2.1924959216965743,7.4290375203915175,1344.0
70,35.0,609.0,2.2413793103448274,7.830870279146141,1365.0
78,39.0,596.0,2.3976510067114094,9.105704697986576,1429.0
79,39.5,596.0,2.4043624161073827,9.159395973154362,1433.0
96,48.0,562.0,2.7740213523131674,12.934163701067616,1559.0
105,52.5,544.0,2.985294117647059,15.136029411764707,1624.0
106,53.0,544.0,3.0,15.268382352941176,1632.0
115,57.5,536.0,3.1884328358208953,17.453358208955223,1709.0
122,61.0,530.0,3.3471698113207546,19.21509433962264,1774.0
127,63.5,524.0,3.4656488549618323,20.793893129770993,1816.0
129,64.5,523.0,3.5162523900573612,21.40152963671128,1839.0
133,66.5,515.0,3.6310679611650487,22.827184466019418,1870.0
139,69.5,504.0,3.7996031746031744,25.359126984126984,1915.0
143,71.5,501.0,3.904191616766467,27.001996007984033,1956.0
144,72.0,501.0,3.9261477045908184,27.367265469061877,1967.0
