merge_prob,dt,inv_speed,pro_speed,inv_exp,pro_exp,inv_adh,pro_adh,inv_prolif,pro_prolif,inv_frag,pro_frag,inv_frag_exp,pro_frag_exp,init_phenotype,rep,n_final,mean_size_final,mean_speed_final,total_cells_final,n_mean_over_time,mean_size_over_time,mean_speed_over_time
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,43,31.627906976744185,2.0,1360.0,153.25581395348837,14.475452828997817,1.9932496300268197
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,43,30.906976744186046,2.0,1329.0,155.5249169435216,14.524360146763007,1.9935089473771725
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,41,34.0,2.0,1394.0,153.31229235880397,14.97151722633368,1.99287180800133
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,35,38.8,2.0,1358.0,154.7607973421927,15.740226464290844,1.9933230330017113
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,45,30.57777777777778,2.0,1376.0,147.98338870431894,15.397225581581969,1.9935810126299975
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,42,32.857142857142854,2.0,1380.0,155.54817275747507,14.229583443349249,1.992861823814144
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,46,29.304347826086957,1.9564474243547525,1348.0,161.7109634551495,13.523926296051279,1.9926433748587848
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,44,30.863636363636363,2.0,1358.0,155.45182724252493,14.147505154083635,1.9940509348970654
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,41,33.19512195121951,2.0,1361.0,160.58139534883722,14.268239271352561,1.9937972837486257
0.5,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,39,34.30769230769231,2.0,1338.0,146.89036544850498,15.781058561600787,1.9937375425974393
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,38,34.94736842105263,2.5,1328.0,141.4418604651163,16.6217385552456,2.4913954196844306
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,31,43.87096774193548,2.4994080034312067,1360.0,138.90365448504983,18.469063914656022,2.4908594246477835
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,32,43.34375,2.5,1387.0,141.0730897009967,17.748799087038204,2.4913234361008887
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,33,41.27272727272727,2.5,1362.0,144.19269102990035,17.120746822608872,2.490688322848038
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,35,38.68571428571428,2.5,1354.0,136.45514950166114,18.230556017952292,2.489994094815353
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,31,43.935483870967744,2.5,1362.0,141.2059800664452,17.489195107196526,2.491472985136246
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,35,39.114285714285714,2.5,1369.0,145.7109634551495,16.34327781295124,2.491590499904049
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,42,31.357142857142858,2.5,1317.0,143.2358803986711,15.57140397335167,2.4907511000873765
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,36,38.27777777777778,2.5,1378.0,140.32558139534885,18.326366171820787,2.4914962928351856
0.5,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,30,45.43333333333333,2.5,1363.0,137.14617940199335,18.644323174683237,2.4911167302323465
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,34,39.26470588235294,2.9978833009928167,1335.0,129.734219269103,18.297394876131182,2.989190608183612
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,29,46.48275862068966,3.0,1348.0,132.50830564784053,20.239268523013706,2.988429734160492
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,28,48.642857142857146,3.0,1362.0,125.98006644518273,20.140151222163816,2.9894317800132457
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,29,45.96551724137931,3.0,1333.0,131.08305647840533,20.22799099592229,2.988932455208219
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,31,44.806451612903224,3.0,1389.0,131.265780730897,19.627784277225818,2.9893154897607066
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,24,56.875,3.0,1365.0,128.71428571428572,21.943977292076625,2.9891608922790387
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,25,54.76,3.0,1369.0,129.47840531561462,22.02945081177439,2.98847193608924
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,28,47.607142857142854,3.0,1333.0,125.08305647840531,22.153700485947255,2.9892589419443722
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,31,43.74193548387097,3.0,1356.0,126.0299003322259,20.4589660774715,2.9901891908489704
0.5,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,31,43.064516129032256,3.0,1335.0,134.8405315614618,17.87836078283047,2.988587728552367
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,28,47.67857142857143,3.5,1335.0,125.734219269103,20.081677091619635,3.4876845220297947
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,20,68.5,3.5,1370.0,124.31229235880399,26.679600573962823,3.48732369840357
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,20,67.0,3.5,1340.0,117.6046511627907,24.4774156378568,3.488495971245378
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,22,63.13636363636363,3.5,1389.0,123.32225913621262,24.765920897024476,3.488512284896289
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,21,64.66666666666667,3.5,1358.0,119.59136212624584,26.120866981565175,3.4874563253426643
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,29,46.96551724137931,3.5,1362.0,123.67441860465117,21.820887178217816,3.487615546464023
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,23,58.78260869565217,3.5,1352.0,119.85714285714286,24.923845821621118,3.4879260610313048
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,29,45.96551724137931,3.5,1333.0,124.32225913621262,19.98595453568242,3.487446551245408
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,25,53.56,3.5,1339.0,126.17940199335548,21.82323307559339,3.487524081678253
0.5,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,25,53.96,3.5,1349.0,119.74086378737542,22.376559562493785,3.4871248546718707
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,18,77.77777777777777,4.0,1400.0,114.421926910299,30.141515184382506,3.985988528467321
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,24,56.25,4.0,1350.0,117.4186046511628,23.735189155131177,3.98652963959163
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,28,48.92857142857143,4.0,1370.0,122.22591362126246,20.653452202105058,3.9872770292474056
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,22,60.31818181818182,3.960649835540791,1327.0,120.5282392026578,22.598429270583317,3.985588797946607
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,19,71.84210526315789,4.0,1365.0,116.69435215946844,29.279210620289888,3.98578210348197
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,23,58.869565217391305,4.0,1354.0,110.58471760797342,27.89277657268567,3.9850891296469286
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,22,61.36363636363637,4.0,1350.0,122.01328903654485,23.88280056385507,3.984476871574493
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,21,65.0952380952381,4.0,1367.0,112.78073089700996,27.159249525626343,3.9862816184487673
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,22,61.86363636363637,4.0,1361.0,116.89368770764119,26.17366217809838,3.986952150940285
0.5,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,20,68.2,4.0,1364.0,115.99335548172758,26.378983317406345,3.9852503867849296
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,14,95.28571428571429,4.5,1334.0,110.80066445182725,32.9140689641324,4.482672440707152
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,19,71.21052631578948,4.5,1353.0,108.2624584717608,32.92938773372469,4.48206090372755
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,24,56.958333333333336,4.5,1367.0,111.38538205980066,25.326169596973028,4.4841932283031705
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,22,59.36363636363637,4.5,1306.0,114.4983388704319,26.08025442927805,4.486011643186771
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,21,65.14285714285714,4.5,1368.0,116.77076411960132,25.434242313864917,4.484579241745758
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,19,70.89473684210526,4.5,1347.0,114.19601328903654,24.87426172841303,4.484989022327175
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,27,50.592592592592595,4.5,1366.0,113.38205980066445,24.682011418473213,4.482929586523016
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,21,64.80952380952381,4.4846758207923285,1361.0,115.12956810631229,27.67593835830714,4.482911769320354
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,16,83.0625,4.5,1329.0,113.13621262458472,30.518803485426975,4.4836973379351575
0.5,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,17,78.88235294117646,4.5,1341.0,106.59136212624584,33.63475804153813,4.482709119355607
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,16,82.375,5.0,1318.0,108.6046511627907,32.65789420794289,4.980858146193765
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,15,92.13333333333334,5.0,1382.0,107.70431893687707,32.88480602740661,4.9814392991565395
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,17,81.41176470588235,5.0,1384.0,104.64451827242524,33.531637891343266,4.97941264906379
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,24,57.208333333333336,5.0,1373.0,115.31893687707641,26.567697617222784,4.980952206086871
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,23,59.04347826086956,5.0,1358.0,115.5514950166113,25.43105353018252,4.981938772563027
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,14,96.42857142857143,5.0,1350.0,108.87707641196013,33.72551278409754,4.98194901194271
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,13,102.3076923076923,5.0,1330.0,104.12292358803987,38.47672195877786,4.98083304175265
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,19,72.26315789473684,4.702515872200774,1373.0,108.3421926910299,29.7291495432364,4.979062848065185
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,19,71.89473684210526,5.0,1366.0,107.0531561461794,30.649053317128296,4.9816654348497735
0.5,0.5,5.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,20,66.95,5.0,1339.0,107.88704318936877,29.311677752262433,4.981637609617954
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,40,33.45,2.0,1338.0,144.21262458471762,15.546185094475284,1.992419383133088
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,44,30.227272727272727,2.0,1330.0,150.49169435215947,13.66365253107483,1.9929591384052605
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,47,27.93617021276596,2.0,1313.0,146.54817275747507,14.581460076787046,1.993776305826082
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,42,30.976190476190474,2.0,1301.0,143.27574750830564,15.38174166778511,1.9933075536618214
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,44,30.818181818181817,2.0,1356.0,151.22923588039868,14.17280202691327,1.9939066859855032
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,39,35.07692307692308,2.0,1368.0,145.65116279069767,15.36298841818204,1.9921655253307313
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,36,37.55555555555556,2.0,1352.0,141.69767441860466,17.01179001339878,1.9931750700494248
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,40,33.625,2.0,1345.0,142.71760797342193,15.98058603286924,1.9929644413784906
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,43,31.488372093023255,2.0,1354.0,141.58803986710964,16.08518737512598,1.992772247307314
0.6,0.5,2.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,42,32.166666666666664,2.0,1351.0,146.265780730897,14.639972571520422,1.9923892379754269
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,32,41.3125,2.4561316723123032,1322.0,131.63787375415282,18.943319467542786,2.4913526780512076
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,35,37.51428571428571,2.5,1313.0,129.2392026578073,17.209109304279647,2.4906885926660647
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,33,41.0,2.5,1353.0,132.41196013289036,17.62419875417214,2.491414432504334
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,26,51.23076923076923,2.5,1332.0,123.69767441860465,20.962572762669,2.491544874383853
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,32,41.125,2.5,1316.0,127.38205980066445,19.02844351360199,2.491619608666445
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,28,48.714285714285715,2.5,1364.0,128.70099667774087,19.46227086767743,2.490644447928492
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,29,47.03448275862069,2.5,1364.0,130.9468438538206,19.352117992169088,2.4904444238901653
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,34,39.8235294117647,2.481053191391636,1354.0,130.7076411960133,17.824114288167117,2.4909191245735554
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,32,42.21875,2.5,1351.0,127.22259136212625,19.20846063759163,2.491110896889708
0.6,0.5,2.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,28,48.32142857142857,2.5,1353.0,126.29235880398672,20.964733844547048,2.490146777125088
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,31,43.193548387096776,3.0,1339.0,119.56146179401993,20.80398591498354,2.9889279862125555
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,25,53.48,3.0,1337.0,118.48504983388705,22.666370768185455,2.9881354019725164
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,29,45.6551724137931,3.0,1324.0,113.87375415282392,21.90538259764818,2.9897942913257234
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,24,55.333333333333336,3.0,1328.0,116.01328903654485,21.984860980235126,2.9876888676258746
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,26,51.53846153846154,3.0,1340.0,122.44518272425249,21.134783149494687,2.9890747036127756
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,24,57.875,3.0,1389.0,116.89368770764119,24.329971554754216,2.990064173316133
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,24,56.916666666666664,2.998415180512385,1366.0,113.38870431893687,24.51795557402514,2.9873655833403063
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,36,38.44444444444444,3.0,1384.0,122.15282392026577,19.8470761177415,2.989107101729527
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,23,59.30434782608695,2.97804930631699,1364.0,117.92358803986711,23.6344177911715,2.989539054020726
0.6,0.5,3.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,26,53.03846153846154,2.986515792996411,1379.0,119.67441860465117,22.33039601402603,2.988329845196793
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,26,51.34615384615385,3.5,1335.0,109.60132890365449,24.780769104373405,3.487164383999226
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,22,60.27272727272727,3.5,1326.0,112.94019933554817,23.501107769891526,3.487255211791794
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,25,55.56,3.5,1389.0,110.10963455149502,25.96195572173151,3.4874963928235827
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,25,54.6,3.5,1365.0,104.91362126245848,28.289804486932322,3.4852243892305244
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,23,58.78260869565217,3.5,1352.0,108.88704318936877,25.39184748106827,3.487171737570651
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,19,72.6842105263158,3.5,1381.0,109.30232558139535,29.190343653944698,3.486230884423807
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,19,69.36842105263158,3.5,1318.0,113.01328903654485,26.94568230833138,3.4859328383588277
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,17,78.47058823529412,3.5,1334.0,110.09966777408638,27.00282634898543,3.4862937510223886
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,23,59.04347826086956,3.5,1358.0,107.8671096345515,27.22394671729417,3.4864757022473314
0.6,0.5,3.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,18,76.55555555555556,3.5,1378.0,108.20265780730897,31.29298023538722,3.4882454411634223
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,15,90.4,4.0,1356.0,99.64119601328903,33.814742867707174,3.9837352857687347
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,19,71.57894736842105,4.0,1360.0,104.57142857142857,27.32914103834585,3.9855757230517734
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,20,68.15,4.0,1363.0,103.23920265780731,29.834617935989467,3.985406339645881
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,18,73.55555555555556,4.0,1324.0,106.90697674418605,29.462516377208814,3.9848104835668883
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,17,81.52941176470588,4.0,1386.0,98.06312292358804,36.843221394042494,3.984761893440706
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,20,67.5,4.0,1350.0,101.67441860465117,28.703947091722064,3.9865117923571747
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,19,69.52631578947368,4.0,1321.0,101.01328903654485,31.044199949728,3.9850732995120506
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,20,69.15,4.0,1383.0,106.10963455149502,27.8576721801162,3.9840131484885735
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,21,62.904761904761905,4.0,1321.0,112.80398671096346,24.6042343543326,3.983351185467052
0.6,0.5,4.0,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,9,14,94.57142857142857,4.0,1324.0,102.20930232558139,31.975908692800246,3.984075131993337
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,0,16,84.875,4.5,1358.0,100.21926910299004,33.12617619114205,4.4823421158673336
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,1,13,103.46153846153847,4.5,1345.0,101.08637873754152,35.119453965641775,4.483086644879689
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,2,16,83.4375,4.3435485965300025,1335.0,99.09302325581395,37.86756651381497,4.478419528666406
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,3,18,75.11111111111111,4.5,1352.0,99.43521594684385,34.71048781962859,4.481623659896834
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,4,16,86.4375,4.5,1383.0,100.72425249169436,31.6294879367608,4.483324606342475
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,5,15,90.06666666666666,4.5,1351.0,98.20598006644518,34.92053787077161,4.483391630605119
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,6,19,69.6842105263158,4.478957668115363,1324.0,110.10963455149502,26.89811329810842,4.4836686380453985
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,7,16,85.5,4.5,1368.0,102.49169435215947,33.03560471259332,4.483221389346907
0.6,0.5,4.5,1.0,0.0,0.0,0.3,0.6,0.002,0.005,0.001,0.0005,0.0,0.0,invasive,8,20,66.25,4.5,1325.0,98.97674418604652,27.10038141897713,4.483310362296921
