step,hours,S0,S1,S2,Ncells
41,20.5,525.0,4.142857142857143,29.918095238095237,2175.0
55,27.5,457.0,4.912472647702407,42.032822757111596,2245.0
77,38.5,380.0,6.173684210526316,64.2578947368421,2346.0
84,42.0,358.0,6.648044692737431,75.74860335195531,2380.0
91,45.5,338.0,7.1390532544378695,85.86094674556213,2413.0
100,50.0,321.0,7.644859813084112,100.57943925233644,2454.0
116,58.0,286.0,8.842657342657343,135.5909090909091,2529.0
123,61.5,276.0,9.28623188405797,147.94565217391303,2563.0
125,62.5,273.0,9.421245421245422,152.66666666666666,2572.0
127,63.5,272.0,9.492647058823529,154.375,2582.0
131,65.5,264.0,9.852272727272727,165.24621212121212,2601.0
133,66.5,262.0,9.969465648854962,169.0763358778626,2612.0
143,71.5,245.0,10.922448979591836,198.30204081632652,2676.0
144,72.0,245.0,10.938775510204081,199.0122448979592,2680.0
