time_min,step,agent_id,x,y,radius,size,speed
32.0,32,3,953.4263858974087,209.26415636225255,7.755538950942392,1.0,3.0
32.0,32,4,784.8389585469864,830.1882175556642,11.185422719499032,3.0,3.0
32.0,32,8,227.43567446859774,920.587373004789,9.77136677757192,2.0,3.0
32.0,32,9,229.36857640681214,569.6212931786674,7.755538950942392,1.0,3.0
32.0,32,15,806.0184784679253,318.41731078542915,7.755538950942392,1.0,3.0
32.0,32,16,32.27407949030223,967.9263533654702,7.755538950942392,1.0,3.0000000000000004
32.0,32,19,202.3746103478824,204.50701091323464,7.755538950942392,1.0,3.0
32.0,32,20,943.0031260213672,815.941009367186,11.185422719499032,3.0,3.0
32.0,32,21,999.4729576777565,922.4230834843578,7.755538950942392,1.0,3.0
32.0,32,23,1082.942379878608,407.3307473934909,9.77136677757192,2.0,3.0
32.0,32,24,442.7404559292873,786.7873548135259,9.77136677757192,2.0,3.0
32.0,32,26,731.2671960275802,945.0757521613283,7.755538950942392,1.0,3.0
32.0,32,27,702.923550354911,617.7302922097358,7.755538950942392,1.0,3.0000000000000004
32.0,32,29,543.9456916203434,46.783000445989906,7.755538950942392,1.0,3.0000000000000004
32.0,32,30,71.31124830163547,891.9880647235425,9.77136677757192,2.0,3.0
32.0,32,31,671.6375211015587,526.1963677284006,14.835812298463559,7.0,3.0000000000000004
32.0,32,34,1036.7608240666495,477.2024992993776,7.755538950942392,1.0,3.0
32.0,32,35,835.927078644378,179.76002802844738,12.311150689306295,4.0,3.0
32.0,32,36,621.4789411928474,748.9120320781559,7.755538950942392,1.0,3.0000000000000004
32.0,32,37,647.5722795794735,473.24548639826656,7.755538950942392,1.0,3.0
32.0,32,40,153.75439544534277,110.93463185943534,7.755538950942392,1.0,3.0000000000000004
32.0,32,41,1008.4819797267136,388.34130624169666,9.77136677757192,2.0,3.0
32.0,32,43,357.26841681463765,245.96195034018444,7.755538950942392,1.0,3.0
32.0,32,44,302.5795791194433,528.2287358258543,11.185422719499032,3.0,2.9999999999999996
32.0,32,49,50.75536328102646,240.0364263121112,7.755538950942392,1.0,3.0000000000000004
32.0,32,51,1041.035298443582,932.8660145045216,9.77136677757192,2.0,3.0
32.0,32,53,593.5430381732114,405.7380354272389,11.185422719499032,3.0,3.0000000000000004
32.0,32,54,98.19493242473315,429.6964851384483,13.26178505962571,5.0,2.9999999999999996
32.0,32,55,1343.8878706258113,130.74103765022602,7.755538950942392,1.0,3.0000000000000004
32.0,32,56,1277.8662041379007,854.7210194838186,9.77136677757192,2.0,3.0000000000000004
32.0,32,59,472.07698498904114,637.1149595983084,7.755538950942392,1.0,3.0
32.0,32,62,871.1430433154369,569.8209949278241,7.755538950942392,1.0,2.9999999999999996
32.0,32,63,1328.4477916799694,750.1119669181168,7.755538950942392,1.0,3.0000000000000004
32.0,32,64,633.866994556511,724.6993318516367,9.77136677757192,2.0,3.0000000000000004
32.0,32,65,711.9425704493943,662.9703637604518,9.77136677757192,2.0,3.0
32.0,32,68,252.74916681978382,910.3743340885965,9.77136677757192,2.0,3.0
