step,hours,S0,S1,S2,Ncells
32,16.0,481.0,2.2182952182952183,7.482328482328482,1067.0
36,18.0,462.0,2.3376623376623376,8.467532467532468,1080.0
47,23.5,420.0,2.6404761904761904,11.092857142857143,1109.0
52,26.0,407.0,2.7592137592137593,12.312039312039312,1123.0
63,31.5,383.0,3.0156657963446474,14.587467362924283,1155.0
84,42.0,335.0,3.6,21.719402985074627,1206.0
89,44.5,322.0,3.8043478260869565,24.282608695652176,1225.0
92,46.0,318.0,3.880503144654088,25.38364779874214,1234.0
94,47.0,316.0,3.9145569620253164,25.686708860759495,1237.0
98,49.0,313.0,3.9808306709265175,26.440894568690094,1246.0
102,51.0,307.0,4.074918566775244,27.351791530944624,1251.0
104,52.0,306.0,4.104575163398692,27.686274509803923,1256.0
106,53.0,305.0,4.144262295081967,28.295081967213115,1264.0
107,53.5,305.0,4.163934426229508,28.56393442622951,1270.0
109,54.5,303.0,4.204620462046204,29.432343234323433,1274.0
118,59.0,290.0,4.451724137931034,33.313793103448276,1291.0
119,59.5,290.0,4.4655172413793105,33.48620689655172,1295.0
121,60.5,289.0,4.494809688581315,33.8235294117647,1299.0
122,61.0,289.0,4.494809688581315,33.8235294117647,1299.0
130,65.0,279.0,4.741935483870968,37.59498207885304,1323.0
133,66.5,275.0,4.825454545454545,39.21818181818182,1327.0
134,67.0,275.0,4.843636363636364,39.658181818181816,1332.0
138,69.0,268.0,4.992537313432836,42.23880597014925,1338.0
141,70.5,265.0,5.071698113207547,44.24905660377358,1344.0
142,71.0,265.0,5.090566037735849,44.630188679245286,1349.0
144,72.0,264.0,5.132575757575758,45.51893939393939,1355.0
