step,hours,S0,S1,S2,Ncells
40,20.0,451.0,2.7006651884700665,11.516629711751664,1218.0
53,26.5,412.0,3.1529126213592233,16.143203883495147,1299.0
83,41.5,334.0,4.5359281437125745,34.52994011976048,1515.0
84,42.0,334.0,4.562874251497006,34.90419161676647,1524.0
85,42.5,334.0,4.586826347305389,35.275449101796404,1532.0
103,51.5,291.0,5.790378006872852,57.13058419243986,1685.0
106,53.0,288.0,5.934027777777778,60.68402777777778,1709.0
109,54.5,284.0,6.105633802816901,63.943661971830984,1734.0
115,57.5,275.0,6.5236363636363635,73.79636363636364,1794.0
117,58.5,271.0,6.708487084870849,78.45018450184502,1818.0
119,59.5,270.0,6.796296296296297,80.27037037037037,1835.0
120,60.0,270.0,6.833333333333333,80.86296296296297,1845.0
124,62.0,267.0,7.082397003745318,88.72284644194757,1891.0
129,64.5,261.0,7.417624521072797,101.66283524904215,1936.0
130,65.0,261.0,7.459770114942529,102.98467432950191,1947.0
131,65.5,261.0,7.501915708812261,104.29885057471265,1958.0
132,66.0,261.0,7.532567049808429,104.90421455938697,1966.0
133,66.5,261.0,7.551724137931035,105.67432950191571,1971.0
134,67.0,261.0,7.590038314176245,106.72413793103448,1981.0
136,68.0,260.0,7.7,111.07692307692308,2002.0
137,68.5,260.0,7.75,112.41153846153846,2015.0
142,71.0,255.0,8.094117647058823,121.55294117647058,2064.0
144,72.0,254.0,8.181102362204724,125.01574803149606,2078.0
