tag,rmse_weighted
invasive_v10_adh1,76.03589666236307
invasive_v10_adh0.9,76.45492964404824
invasive_v10_adh0.7,76.97400038453671
invasive_v10_adh0.5,78.85598484496616
invasive_v7_adh0.9,98.33084803758348
invasive_v7_adh1,99.08593795226703
invasive_v7_adh0.7,102.13505898647382
invasive_v7_adh0.5,105.4192872202617
invasive_v5_adh1,117.46214932405385
invasive_v5_adh0.9,124.87414149167793
invasive_v5_adh0.7,125.60562257261844
invasive_v5_adh0.3,126.43545581036548
invasive_v5_adh0.5,128.93966858132228
invasive_v3_adh1,181.37199743825764
invasive_v3_adh0.7,181.61117102975402
invasive_v3_adh0.9,182.15237946890255
invasive_v3_adh0.5,183.8814341511669
invasive_v3_adh0.3,197.2571788426463
invasive_v2_adh0.9,223.60509097863843
invasive_v2_adh1,223.89812473582114
invasive_v2_adh0.7,226.51980860763987
invasive_v2_adh0.5,227.15009058559514
invasive_v2_adh0.3,236.4221521360228
invasive_v1_adh0.9,278.1851530945943
invasive_v1_adh0.7,280.78997864018044
invasive_v1_adh0.5,283.33470917938394
invasive_v1_adh0.3,285.37339030944906
invasive_v0.5_adh0.7,308.3419450791785
invasive_v0.5_adh0.5,312.7022235288719
invasive_v0.5_adh0.9,313.48272867736705
invasive_v0.5_adh0.3,315.7724208988673
