step,hours,S0,S1,S2,Ncells
7,3.5,742.0,1.371967654986523,2.3746630727762805,1018.0
11,5.5,737.0,1.4002713704206242,2.5101763907734056,1032.0
17,8.5,731.0,1.4309165526675787,2.6648426812585497,1046.0
19,9.5,729.0,1.4430727023319616,2.7242798353909463,1052.0
25,12.5,722.0,1.4764542936288088,2.880886426592798,1066.0
27,13.5,721.0,1.4826629680998613,2.9195561719833565,1069.0
30,15.0,718.0,1.4972144846796658,3.0069637883008355,1075.0
33,16.5,714.0,1.5140056022408963,3.1134453781512605,1081.0
34,17.0,714.0,1.515406162464986,3.1176470588235294,1082.0
38,19.0,710.0,1.536619718309859,3.2352112676056337,1091.0
40,20.0,708.0,1.5494350282485876,3.309322033898305,1097.0
45,22.5,704.0,1.5752840909090908,3.4161931818181817,1109.0
46,23.0,704.0,1.578125,3.4360795454545454,1111.0
47,23.5,704.0,1.5823863636363635,3.4630681818181817,1114.0
48,24.0,704.0,1.5866477272727273,3.487215909090909,1117.0
49,24.5,704.0,1.5909090909090908,3.508522727272727,1120.0
52,26.0,701.0,1.6077032810271041,3.582025677603424,1127.0
54,27.0,699.0,1.6165951359084407,3.6165951359084407,1130.0
57,28.5,695.0,1.6330935251798562,3.7021582733812948,1135.0
58,29.0,695.0,1.6359712230215828,3.7309352517985612,1137.0
59,29.5,695.0,1.6359712230215828,3.7309352517985612,1137.0
60,30.0,695.0,1.641726618705036,3.7654676258992805,1141.0
61,30.5,695.0,1.6431654676258993,3.775539568345324,1142.0
66,33.0,687.0,1.6797671033478894,4.011644832605532,1154.0
68,34.0,685.0,1.691970802919708,4.138686131386861,1159.0
71,35.5,682.0,1.7111436950146628,4.247800586510264,1167.0
75,37.5,677.0,1.7370753323485968,4.466765140324963,1176.0
79,39.5,673.0,1.7563150074294205,4.5854383358098065,1182.0
85,42.5,666.0,1.7942942942942943,4.827327327327327,1195.0
86,43.0,666.0,1.7942942942942943,4.827327327327327,1195.0
87,43.5,666.0,1.7942942942942943,4.827327327327327,1195.0
88,44.0,666.0,1.7972972972972974,4.866366366366367,1197.0
89,44.5,666.0,1.8048048048048049,4.900900900900901,1202.0
90,45.0,666.0,1.8078078078078077,4.918918918918919,1204.0
91,45.5,666.0,1.8108108108108107,4.93993993993994,1206.0
93,46.5,664.0,1.8207831325301205,5.022590361445783,1209.0
94,47.0,664.0,1.822289156626506,5.030120481927711,1210.0
96,48.0,663.0,1.8280542986425339,5.0588235294117645,1212.0
97,48.5,663.0,1.8310708898944192,5.092006033182503,1214.0
98,49.0,663.0,1.8340874811463046,5.104072398190045,1216.0
99,49.5,663.0,1.8401206636500753,5.158371040723982,1220.0
100,50.0,663.0,1.8401206636500753,5.158371040723982,1220.0
102,51.0,662.0,1.850453172205438,5.237160120845921,1225.0
104,52.0,661.0,1.859304084720121,5.2844175491679275,1229.0
106,53.0,660.0,1.8696969696969696,5.366666666666666,1234.0
107,53.5,660.0,1.8727272727272728,5.384848484848485,1236.0
109,54.5,657.0,1.8888888888888888,5.4901065449010655,1241.0
110,55.0,657.0,1.8964992389649924,5.540334855403349,1246.0
112,56.0,656.0,1.9070121951219512,5.629573170731708,1251.0
113,56.5,656.0,1.9115853658536586,5.664634146341464,1254.0
115,57.5,655.0,1.919083969465649,5.729770992366412,1257.0
116,58.0,655.0,1.9251908396946564,5.778625954198473,1261.0
117,58.5,655.0,1.9282442748091604,5.796946564885496,1263.0
119,59.5,654.0,1.9403669724770642,5.922018348623853,1269.0
121,60.5,653.0,1.9479326186830015,5.9632465543644715,1272.0
122,61.0,653.0,1.9617151607963246,6.081163859111792,1281.0
124,62.0,652.0,1.9754601226993864,6.174846625766871,1288.0
125,62.5,652.0,1.978527607361963,6.193251533742331,1290.0
126,63.0,652.0,1.9831288343558282,6.234662576687117,1293.0
127,63.5,652.0,1.9892638036809815,6.280674846625767,1297.0
129,64.5,651.0,1.9969278033794162,6.325652841781874,1300.0
132,66.0,649.0,2.0184899845916795,6.514637904468413,1310.0
133,66.5,649.0,2.0231124807395995,6.553158705701079,1313.0
134,67.0,649.0,2.0277349768875195,6.600924499229584,1316.0
136,68.0,648.0,2.0385802469135803,6.665123456790123,1321.0
137,68.5,648.0,2.0401234567901234,6.672839506172839,1322.0
141,70.5,645.0,2.068217054263566,6.886821705426357,1334.0
142,71.0,645.0,2.0728682170542636,6.953488372093023,1337.0
144,72.0,642.0,2.0950155763239877,7.095015576323988,1345.0
