step,hours,S0,S1,S2,Ncells
53,26.5,143.0,7.7622377622377625,102.27972027972028,1110.0
63,31.5,124.0,9.10483870967742,138.00806451612902,1129.0
66,33.0,118.0,9.59322033898305,158.6949152542373,1132.0
73,36.5,109.0,10.513761467889909,223.55963302752295,1146.0
77,38.5,101.0,11.425742574257425,256.91089108910893,1154.0
81,40.5,97.0,11.958762886597938,285.97938144329896,1160.0
83,41.5,96.0,12.125,294.9375,1164.0
86,43.0,92.0,12.684782608695652,325.05434782608694,1167.0
87,43.5,92.0,12.717391304347826,327.4347826086956,1170.0
89,44.5,91.0,12.901098901098901,343.45054945054943,1174.0
94,47.0,85.0,13.952941176470588,384.3529411764706,1186.0
95,47.5,85.0,13.988235294117647,385.6823529411765,1189.0
97,48.5,84.0,14.202380952380953,393.1547619047619,1193.0
98,49.0,84.0,14.238095238095237,395.8809523809524,1196.0
101,50.5,81.0,14.876543209876543,437.0246913580247,1205.0
102,51.0,81.0,14.88888888888889,438.14814814814815,1206.0
104,52.0,80.0,15.125,446.425,1210.0
105,52.5,80.0,15.175,449.55,1214.0
106,53.0,80.0,15.2375,453.6875,1219.0
107,53.5,80.0,15.2375,453.6875,1219.0
108,54.0,80.0,15.2625,455.6875,1221.0
110,55.0,78.0,15.756410256410257,488.3974358974359,1229.0
112,56.0,77.0,16.01298701298701,558.6883116883117,1233.0
116,58.0,72.0,17.27777777777778,651.3888888888889,1244.0
117,58.5,72.0,17.291666666666668,651.9583333333334,1245.0
118,59.0,72.0,17.36111111111111,657.6666666666666,1250.0
119,59.5,72.0,17.375,657.9861111111111,1251.0
120,60.0,72.0,17.416666666666668,661.8611111111111,1254.0
122,61.0,71.0,17.732394366197184,674.830985915493,1259.0
123,61.5,71.0,17.788732394366196,679.1971830985915,1263.0
124,62.0,71.0,17.859154929577464,684.4788732394367,1268.0
126,63.0,70.0,18.12857142857143,704.6428571428571,1269.0
127,63.5,70.0,18.17142857142857,708.4285714285714,1272.0
130,65.0,68.0,18.852941176470587,789.3529411764706,1282.0
132,66.0,67.0,19.208955223880597,818.9104477611941,1287.0
134,67.0,66.0,19.560606060606062,841.5,1291.0
135,67.5,66.0,19.560606060606062,841.5,1291.0
138,69.0,64.0,20.265625,879.796875,1297.0
140,70.0,62.0,21.112903225806452,965.4032258064516,1309.0
142,71.0,61.0,21.508196721311474,1020.327868852459,1312.0
143,71.5,61.0,21.557377049180328,1025.7868852459017,1315.0
144,72.0,61.0,21.60655737704918,1030.950819672131,1318.0
