step,hours,S0,S1,S2,Ncells
60,30.0,190.0,5.942105263157894,64.79473684210527,1129.0
64,32.0,183.0,6.218579234972678,70.17486338797814,1138.0
68,34.0,180.0,6.377777777777778,73.17777777777778,1148.0
75,37.5,170.0,6.817647058823529,82.17058823529412,1159.0
82,41.0,159.0,7.39622641509434,94.85534591194968,1176.0
90,45.0,148.0,8.074324324324325,110.9391891891892,1195.0
92,46.0,147.0,8.16326530612245,112.73469387755102,1200.0
94,47.0,146.0,8.246575342465754,114.24657534246575,1204.0
96,48.0,145.0,8.344827586206897,118.12413793103448,1210.0
100,50.0,141.0,8.687943262411348,136.29078014184398,1225.0
102,51.0,140.0,8.785714285714286,138.2,1230.0
103,51.5,140.0,8.8,138.54285714285714,1232.0
106,53.0,135.0,9.170370370370371,150.8148148148148,1238.0
107,53.5,135.0,9.192592592592593,151.75555555555556,1241.0
109,54.5,134.0,9.305970149253731,155.52985074626866,1247.0
116,58.0,123.0,10.308943089430894,187.41463414634146,1268.0
117,58.5,123.0,10.325203252032521,187.96747967479675,1270.0
118,59.0,123.0,10.333333333333334,188.17073170731706,1271.0
119,59.5,123.0,10.34959349593496,188.869918699187,1273.0
120,60.0,123.0,10.390243902439025,190.390243902439,1278.0
121,60.5,123.0,10.398373983739837,190.64227642276424,1279.0
125,62.5,119.0,10.815126050420169,211.5546218487395,1287.0
128,64.0,113.0,11.469026548672566,230.42477876106196,1296.0
129,64.5,113.0,11.47787610619469,230.52212389380531,1297.0
131,65.5,112.0,11.607142857142858,233.94642857142858,1300.0
136,68.0,107.0,12.271028037383177,258.32710280373834,1313.0
137,68.5,107.0,12.299065420560748,259.7570093457944,1316.0
138,69.0,107.0,12.345794392523365,262.3457943925234,1321.0
139,69.5,107.0,12.36448598130841,263.0934579439252,1323.0
141,70.5,106.0,12.528301886792454,273.9811320754717,1328.0
142,71.0,106.0,12.59433962264151,276.5188679245283,1335.0
143,71.5,106.0,12.60377358490566,276.58490566037733,1336.0
144,72.0,106.0,12.622641509433961,277.49056603773585,1338.0
