step,hours,S0,S1,S2,Ncells
18,9.0,675.0,1.6103703703703705,3.580740740740741,1087.0
49,24.5,613.0,2.040783034257749,6.442088091353996,1251.0
56,28.0,598.0,2.1588628762541804,7.3193979933110365,1291.0
61,30.5,590.0,2.2355932203389832,8.049152542372882,1319.0
62,31.0,590.0,2.2457627118644066,8.089830508474575,1325.0
69,34.5,581.0,2.359724612736661,9.251290877796903,1371.0
76,38.0,573.0,2.4589877835951133,10.085514834205934,1409.0
82,41.0,566.0,2.5848056537102475,11.128975265017667,1463.0
91,45.5,553.0,2.779385171790235,13.177215189873417,1537.0
93,46.5,551.0,2.82032667876588,13.600725952813066,1554.0
99,49.5,544.0,2.9411764705882355,14.963235294117647,1600.0
100,50.0,544.0,2.9558823529411766,15.158088235294118,1608.0
105,52.5,535.0,3.061682242990654,16.321495327102802,1638.0
114,57.0,522.0,3.2739463601532566,19.155172413793103,1709.0
121,60.5,513.0,3.5009746588693957,22.0,1796.0
126,63.0,506.0,3.6383399209486167,23.954545454545453,1841.0
128,64.0,504.0,3.6884920634920637,24.978174603174605,1859.0
132,66.0,502.0,3.7808764940239046,26.406374501992033,1898.0
133,66.5,502.0,3.798804780876494,26.758964143426294,1907.0
136,68.0,500.0,3.862,27.63,1931.0
142,71.0,494.0,4.008097165991903,30.05668016194332,1980.0
144,72.0,492.0,4.085365853658536,31.260162601626018,2010.0
