step,hours,S0,S1,S2,Ncells
35,17.5,654.0,1.8241590214067278,4.940366972477064,1193.0
37,18.5,650.0,1.8615384615384616,5.144615384615385,1210.0
44,22.0,635.0,1.9716535433070865,5.955905511811023,1252.0
45,22.5,635.0,1.979527559055118,6.04251968503937,1257.0
52,26.0,625.0,2.1024,7.1712,1314.0
55,27.5,617.0,2.153970826580227,7.576985413290114,1329.0
64,32.0,597.0,2.341708542713568,9.195979899497488,1398.0
66,33.0,596.0,2.3624161073825505,9.385906040268456,1408.0
73,36.5,588.0,2.4676870748299318,10.301020408163266,1451.0
74,37.0,588.0,2.4829931972789114,10.435374149659864,1460.0
82,41.0,573.0,2.6719022687609075,12.225130890052355,1531.0
86,43.0,562.0,2.784697508896797,13.45373665480427,1565.0
88,44.0,560.0,2.8232142857142857,13.898214285714285,1581.0
91,45.5,556.0,2.8741007194244603,14.557553956834532,1598.0
93,46.5,553.0,2.9367088607594938,15.345388788426764,1624.0
99,49.5,544.0,3.0698529411764706,16.823529411764707,1670.0
103,51.5,537.0,3.184357541899441,18.2048417132216,1710.0
106,53.0,534.0,3.254681647940075,19.09737827715356,1738.0
109,54.5,533.0,3.3189493433395874,20.609756097560975,1769.0
129,64.5,506.0,3.8636363636363638,29.81620553359684,1955.0
130,65.0,506.0,3.883399209486166,30.053359683794465,1965.0
132,66.0,505.0,3.9168316831683168,30.475247524752476,1978.0
133,66.5,505.0,3.9326732673267326,30.669306930693068,1986.0
136,68.0,503.0,4.0159045725646125,32.238568588469185,2020.0
140,70.0,498.0,4.136546184738956,34.41767068273092,2060.0
141,70.5,498.0,4.156626506024097,34.76706827309237,2070.0
143,71.5,495.0,4.22020202020202,35.654545454545456,2089.0
144,72.0,495.0,4.248484848484848,36.022222222222226,2103.0
