step,hours,S0,S1,S2,Ncells
16,8.0,702.0,1.5484330484330484,3.240740740740741,1087.0
22,11.0,684.0,1.6198830409356726,3.611111111111111,1108.0
23,11.5,684.0,1.6242690058479532,3.6330409356725144,1111.0
32,16.0,667.0,1.7436281859070464,4.322338830584708,1163.0
52,26.0,626.0,2.0319488817891376,6.348242811501597,1272.0
55,27.5,621.0,2.0869565217391304,6.7407407407407405,1296.0
58,29.0,618.0,2.1262135922330097,7.051779935275081,1314.0
67,33.5,600.0,2.2933333333333334,8.456666666666667,1376.0
68,34.0,600.0,2.3133333333333335,8.606666666666667,1388.0
72,36.0,592.0,2.3902027027027026,9.339527027027026,1415.0
83,41.5,573.0,2.5968586387434556,11.350785340314136,1488.0
85,42.5,569.0,2.641476274165202,11.734622144112478,1503.0
87,43.5,568.0,2.670774647887324,11.963028169014084,1517.0
93,46.5,559.0,2.7978533094812166,13.341681574239713,1564.0
95,47.5,557.0,2.8312387791741473,13.67145421903052,1577.0
98,49.0,552.0,2.9166666666666665,14.605072463768115,1610.0
106,53.0,543.0,3.0773480662983426,16.664825046040516,1671.0
109,54.5,540.0,3.1425925925925924,17.464814814814815,1697.0
114,57.0,535.0,3.229906542056075,18.549532710280374,1728.0
117,58.5,527.0,3.3225806451612905,19.76280834914611,1751.0
121,60.5,522.0,3.4310344827586206,21.097701149425287,1791.0
124,62.0,518.0,3.503861003861004,22.5,1815.0
127,63.5,514.0,3.593385214007782,23.71011673151751,1847.0
129,64.5,510.0,3.664705882352941,24.53529411764706,1869.0
134,67.0,503.0,3.8071570576540754,26.491053677932406,1915.0
136,68.0,500.0,3.854,27.302,1927.0
140,70.0,495.0,3.9555555555555557,28.565656565656564,1958.0
144,72.0,488.0,4.094262295081967,31.299180327868854,1998.0
