step,hours,S0,S1,S2,Ncells
22,11.0,665.0,1.906766917293233,5.530827067669173,1268.0
37,18.5,635.0,2.325984251968504,9.015748031496063,1477.0
41,20.5,628.0,2.426751592356688,10.111464968152866,1524.0
64,32.0,575.0,3.333913043478261,20.092173913043478,1917.0
69,34.5,563.0,3.561278863232682,23.117229129662523,2005.0
70,35.0,563.0,3.5896980461811725,23.483126110124335,2021.0
109,54.5,483.0,6.178053830227744,80.33540372670808,2984.0
111,55.5,480.0,6.33125,84.34375,3039.0
112,56.0,480.0,6.39375,86.17291666666667,3069.0
123,61.5,468.0,7.348290598290598,114.32692307692308,3439.0
127,63.5,465.0,7.7182795698924735,131.83870967741936,3589.0
135,67.5,447.0,8.720357941834452,169.74496644295303,3898.0
136,68.0,447.0,8.803131991051455,173.56375838926175,3935.0
144,72.0,431.0,9.839907192575406,219.59860788863108,4241.0
