step,hours,S0,S1,S2,Ncells
14,7.0,724.0,1.468232044198895,2.910220994475138,1063.0
18,9.0,718.0,1.5292479108635098,3.214484679665738,1098.0
20,10.0,716.0,1.547486033519553,3.3324022346368714,1108.0
25,12.5,707.0,1.611032531824611,3.6732673267326734,1139.0
31,15.5,700.0,1.6628571428571428,3.974285714285714,1164.0
33,16.5,699.0,1.688125894134478,4.09728183118741,1180.0
34,17.0,699.0,1.698140200286123,4.150214592274678,1187.0
39,19.5,690.0,1.7666666666666666,4.639130434782609,1219.0
47,23.5,679.0,1.882179675994109,5.4138438880706925,1278.0
51,25.5,671.0,1.92548435171386,5.764530551415797,1292.0
52,26.0,671.0,1.938897168405365,5.855439642324888,1301.0
56,28.0,667.0,1.9925037481259371,6.253373313343328,1329.0
58,29.0,666.0,2.012012012012012,6.42042042042042,1340.0
59,29.5,666.0,2.015015015015015,6.441441441441442,1342.0
69,34.5,659.0,2.156297420333839,7.628224582701062,1421.0
74,37.0,652.0,2.2162576687116564,8.253067484662576,1445.0
75,37.5,652.0,2.23159509202454,8.375766871165645,1455.0
83,41.5,641.0,2.37597503900156,9.776911076443058,1523.0
86,43.0,638.0,2.427899686520376,10.283699059561128,1549.0
89,44.5,636.0,2.4764150943396226,10.891509433962264,1575.0
90,45.0,636.0,2.4858490566037736,10.982704402515724,1581.0
92,46.0,635.0,2.499212598425197,11.078740157480315,1587.0
103,51.5,624.0,2.7083333333333335,13.503205128205128,1690.0
106,53.0,617.0,2.7698541329011346,14.212317666126419,1709.0
107,53.5,617.0,2.7747163695299837,14.249594813614262,1712.0
108,54.0,617.0,2.782820097244733,14.3257698541329,1717.0
109,54.5,617.0,2.7909238249594814,14.418152350081037,1722.0
110,55.0,617.0,2.794165316045381,14.473257698541328,1724.0
111,55.5,617.0,2.8022690437601296,14.546191247974068,1729.0
112,56.0,617.0,2.815235008103728,14.773095623987034,1737.0
115,57.5,613.0,2.8743882544861337,15.556280587275694,1762.0
117,58.5,611.0,2.9148936170212765,16.04418985270049,1781.0
120,60.0,609.0,2.9573070607553364,16.651888341543515,1801.0
122,61.0,608.0,3.0065789473684212,17.20394736842105,1828.0
127,63.5,600.0,3.14,18.83,1884.0
129,64.5,597.0,3.1758793969849246,19.256281407035175,1896.0
136,68.0,586.0,3.3771331058020477,21.766211604095563,1979.0
138,69.0,585.0,3.4085470085470084,22.174358974358974,1994.0
144,72.0,581.0,3.5387263339070567,24.309810671256454,2056.0
