step,hours,S0,S1,S2,Ncells
52,26.0,525.0,2.539047619047619,10.539047619047619,1333.0
63,31.5,491.0,2.8513238289205702,13.515274949083503,1400.0
65,32.5,490.0,2.8836734693877553,13.842857142857143,1413.0
70,35.0,482.0,3.0020746887966805,15.37551867219917,1447.0
86,43.0,439.0,3.5558086560364464,21.943052391799544,1561.0
90,45.0,430.0,3.686046511627907,23.672093023255815,1585.0
93,46.5,427.0,3.7704918032786887,24.936768149882905,1610.0
95,47.5,425.0,3.8023529411764705,25.430588235294117,1616.0
105,52.5,408.0,4.147058823529412,30.91176470588235,1692.0
115,57.5,391.0,4.516624040920716,37.16624040920716,1766.0
118,59.0,386.0,4.632124352331606,39.02590673575129,1788.0
122,61.0,384.0,4.768229166666667,41.2421875,1831.0
126,63.0,376.0,4.9787234042553195,45.20744680851064,1872.0
129,64.5,372.0,5.099462365591398,47.62096774193548,1897.0
133,66.5,365.0,5.295890410958904,52.07945205479452,1933.0
136,68.0,360.0,5.475,55.236111111111114,1971.0
143,71.5,354.0,5.793785310734464,61.86158192090395,2051.0
144,72.0,354.0,5.8192090395480225,62.282485875706215,2060.0
