merge_prob,invasive_speed,proliferative_speed,dt,rep,n_final,mean_size_final,mean_speed_final,total_cells_final,n_mean_over_time,mean_size_over_time,mean_speed_over_time
0.3,1.0,1.0,1.0,0,39,51.84615384615385,0.9947640098531162,2022.0,125.04651162790698,17.907038895099234,0.9968599612195331
0.3,1.0,1.0,1.0,1,41,50.41463414634146,1.0,2067.0,123.67109634551495,17.777489446997286,0.9970733296800813
0.3,1.0,1.0,1.0,2,43,52.41860465116279,1.0,2254.0,125.93023255813954,17.60745490050403,0.997299315841188
0.3,1.0,1.0,1.0,3,49,41.16326530612245,0.9966051311589689,2017.0,128.1063122923588,16.308627173889374,0.9969944579309853
0.3,1.0,1.0,1.0,4,40,55.225,1.0,2209.0,126.88704318936877,18.428100585786023,0.9974120229703033
0.3,2.0,1.0,1.0,0,29,66.62068965517241,1.5517241379310345,1932.0,108.4485049833887,23.372420550217683,1.464051171838579
0.3,2.0,1.0,1.0,1,25,89.6,1.36,2240.0,109.08970099667773,24.578534406637107,1.3961881856137246
0.3,2.0,1.0,1.0,2,26,85.53846153846153,1.3076923076923077,2224.0,105.6312292358804,27.336341138054205,1.3867211343124883
0.3,2.0,1.0,1.0,3,33,66.0,1.3636363636363635,2178.0,109.45847176079734,23.44348348690581,1.402627337738206
0.3,2.0,1.0,1.0,4,32,67.5,1.34375,2160.0,105.25581395348837,24.123217113588574,1.4229257227055294
0.3,3.0,1.0,1.0,0,18,105.83333333333333,1.7777777777777777,1905.0,98.27242524916943,31.277483534565842,1.9130969999685938
0.3,3.0,1.0,1.0,1,26,84.92307692307692,1.3076923076923077,2208.0,99.52491694352159,28.551827277062863,1.577125376851396
0.3,3.0,1.0,1.0,2,29,77.13793103448276,1.6896551724137931,2237.0,106.89368770764119,26.04949220177006,1.833478915624491
0.3,3.0,1.0,1.0,3,24,83.5,1.75,2004.0,102.7873754152824,27.445761734271652,1.80411705433837
0.3,3.0,1.0,1.0,4,23,85.30434782608695,1.8695652173913044,1962.0,101.56478405315615,26.83365829239021,1.9262955157854382
