S0,S1,S2
19.0,362.2105263157895,219609.36842105264
20.0,408.2,241045.1
20.0,319.6,192683.9
22.0,403.3181818181818,232663.4090909091
16.0,376.75,207469.5
20.0,451.2,265217.0
16.0,456.625,307161.375
16.0,495.9375,353011.3125
14.0,452.2857142857143,336796.14285714284
16.0,378.375,237505.125
19.0,352.0,274222.5263157895
15.0,434.6666666666667,286620.8
21.0,363.2857142857143,184388.14285714287
15.0,401.73333333333335,274254.5333333333
17.0,442.70588235294116,341764.9411764706
13.0,374.46153846153845,341754.6153846154
17.0,308.52941176470586,180363.70588235295
19.0,332.0,142141.68421052632
16.0,456.625,307161.375
20.0,348.55,210672.25
16.0,312.125,230344.25
17.0,308.52941176470586,180363.70588235295
20.0,451.2,265217.0
20.0,352.95,188678.85
17.0,337.88235294117646,190081.29411764705
18.0,375.72222222222223,214463.27777777778
14.0,452.2857142857143,336796.14285714284
16.0,312.125,230344.25
21.0,363.2857142857143,184388.14285714287
20.0,421.35,332910.25
20.0,451.2,265217.0
22.0,396.6363636363636,222418.9090909091
16.0,430.9375,332397.0625
19.0,323.1578947368421,230132.0
16.0,457.3125,345879.4375
19.0,366.8421052631579,213034.84210526315
20.0,331.2,224655.3
25.0,294.56,141608.56
16.0,417.625,273901.5
15.0,401.73333333333335,274254.5333333333
15.0,407.93333333333334,277453.0
14.0,365.14285714285717,363059.85714285716
22.0,396.6363636363636,222418.9090909091
14.0,439.42857142857144,301833.0
16.0,456.625,307161.375
23.0,337.6521739130435,231898.95652173914
17.0,375.6470588235294,351644.4705882353
14.0,464.2857142857143,405645.0
18.0,380.05555555555554,266540.94444444444
19.0,352.0,274222.5263157895
17.0,412.2352941176471,285872.9411764706
24.0,339.9166666666667,157429.75
13.0,374.46153846153845,341754.6153846154
16.0,428.625,325512.25
20.0,367.25,211443.45
13.0,524.4615384615385,373582.46153846156
22.0,396.6363636363636,222418.9090909091
10.0,494.5,443277.7
17.0,337.88235294117646,190081.29411764705
18.0,380.05555555555554,266540.94444444444
20.0,272.8,158321.9
20.0,348.55,210672.25
13.0,446.84615384615387,340810.6923076923
20.0,412.0,268260.3
12.0,429.0833333333333,321120.5833333333
20.0,451.2,265217.0
12.0,484.0833333333333,421810.25
16.0,351.125,272547.5
19.0,362.2105263157895,219609.36842105264
13.0,448.0,345761.8461538461
14.0,452.2857142857143,336796.14285714284
20.0,350.05,183891.65
19.0,280.94736842105266,168961.47368421053
17.0,362.11764705882354,269136.70588235295
12.0,399.75,214353.75
15.0,449.2,305304.4
22.0,396.6363636363636,222418.9090909091
15.0,449.2,305304.4
16.0,430.9375,332397.0625
14.0,438.42857142857144,257332.7142857143
