parameter,variant_a,variant_b,overlap,js_divergence
adhesion,isotropic_lognorm,isotropic_gamma,0.6155999999999999,0.18569339621025527
adhesion,isotropic_lognorm,persistent_lognorm,0.5672000000000001,0.23628838735417323
adhesion,isotropic_lognorm,persistent_gamma,0.4822000000000001,0.3285708398049308
adhesion,isotropic_lognorm,persistent_weibull,0.5122000000000003,0.2916622709583809
adhesion,isotropic_gamma,persistent_lognorm,0.4751999999999996,0.32639828850718877
adhesion,isotropic_gamma,persistent_gamma,0.4400000000000004,0.35472240382084136
adhesion,isotropic_gamma,persistent_weibull,0.4052,0.3903282497508453
adhesion,persistent_lognorm,persistent_gamma,0.4992000000000002,0.3064321428324031
adhesion,persistent_lognorm,persistent_weibull,0.6042000000000001,0.2068710505943164
adhesion,persistent_gamma,persistent_weibull,0.48399999999999993,0.310568029106567
fragment_rate,isotropic_lognorm,isotropic_gamma,0.6152000000000001,0.170064028252852
fragment_rate,isotropic_lognorm,persistent_lognorm,0.6077999999999998,0.19610471899692306
fragment_rate,isotropic_lognorm,persistent_gamma,0.4887999999999999,0.2966554798059339
fragment_rate,isotropic_lognorm,persistent_weibull,0.5773999999999998,0.21298872222478346
fragment_rate,isotropic_gamma,persistent_lognorm,0.559,0.23473402621071204
fragment_rate,isotropic_gamma,persistent_gamma,0.4236,0.3479481196151183
fragment_rate,isotropic_gamma,persistent_weibull,0.5107999999999999,0.247166941542622
fragment_rate,persistent_lognorm,persistent_gamma,0.4171999999999998,0.352833252411172
fragment_rate,persistent_lognorm,persistent_weibull,0.5088,0.274470462633364
fragment_rate,persistent_gamma,persistent_weibull,0.4741999999999999,0.30444470249366595
heading_sigma,persistent_lognorm,persistent_gamma,0.4550000000000004,0.3543613796880245
heading_sigma,persistent_lognorm,persistent_weibull,0.49179999999999985,0.2739327476983575
heading_sigma,persistent_gamma,persistent_weibull,0.42400000000000027,0.3698986598960252
merge_prob,isotropic_lognorm,isotropic_gamma,0.5065999999999999,0.2665187584664097
merge_prob,isotropic_lognorm,persistent_lognorm,0.5156000000000001,0.23567720426115052
merge_prob,isotropic_lognorm,persistent_gamma,0.4792000000000001,0.31930134788985787
merge_prob,isotropic_lognorm,persistent_weibull,0.5486000000000002,0.2279075344415798
merge_prob,isotropic_gamma,persistent_lognorm,0.4384000000000003,0.3637693563987925
merge_prob,isotropic_gamma,persistent_gamma,0.43140000000000006,0.36697549575429766
merge_prob,isotropic_gamma,persistent_weibull,0.45959999999999995,0.38249097550997735
merge_prob,persistent_lognorm,persistent_gamma,0.45199999999999985,0.3163258424204223
merge_prob,persistent_lognorm,persistent_weibull,0.4960000000000002,0.2943568783558137
merge_prob,persistent_gamma,persistent_weibull,0.42420000000000013,0.3927641707024278
prolif_rate,isotropic_lognorm,isotropic_gamma,0.5889999999999997,0.22411334120853416
prolif_rate,isotropic_lognorm,persistent_lognorm,0.5895999999999995,0.22217063952405575
prolif_rate,isotropic_lognorm,persistent_gamma,0.5109999999999998,0.2592653678859974
prolif_rate,isotropic_lognorm,persistent_weibull,0.5264000000000002,0.2716002463924214
prolif_rate,isotropic_gamma,persistent_lognorm,0.495400000000001,0.27748980243041865
prolif_rate,isotropic_gamma,persistent_gamma,0.4331999999999994,0.3765967289861283
prolif_rate,isotropic_gamma,persistent_weibull,0.4993999999999996,0.28668840150782315
prolif_rate,persistent_lognorm,persistent_gamma,0.5442,0.2264390010021968
prolif_rate,persistent_lognorm,persistent_weibull,0.5549999999999998,0.23316735636483982
prolif_rate,persistent_gamma,persistent_weibull,0.5192000000000013,0.28085396611836233
speed_meanlog,isotropic_lognorm,persistent_lognorm,0.34040000000000026,0.5482054364519953
speed_scale,isotropic_gamma,persistent_gamma,0.2678,0.6081359926493848
speed_scale,isotropic_gamma,persistent_weibull,0.4205999999999999,0.3555411642356905
speed_scale,persistent_gamma,persistent_weibull,0.23619999999999983,0.617834525426441
speed_sdlog,isotropic_lognorm,persistent_lognorm,0.6236000000000005,0.17609192894787679
speed_shape,isotropic_gamma,persistent_gamma,0.42500000000000004,0.42607019252551903
speed_shape,isotropic_gamma,persistent_weibull,0.4008000000000001,0.4054076479020397
speed_shape,persistent_gamma,persistent_weibull,0.41659999999999975,0.34949462445417556
