parameter,variant_a,variant_b,overlap,js_divergence
adhesion,isotropic_lognorm,isotropic_gamma,0.5654000000000002,0.2100377954558283
adhesion,isotropic_lognorm,isotropic_weibull,0.5130000000000001,0.2882102339873942
adhesion,isotropic_lognorm,persistent_lognorm,0.4318000000000001,0.3861716084204764
adhesion,isotropic_lognorm,persistent_gamma,0.5792,0.2168452759267531
adhesion,isotropic_lognorm,persistent_weibull,0.5121999999999999,0.26565000423021384
adhesion,isotropic_gamma,isotropic_weibull,0.46320000000000006,0.3285504793485252
adhesion,isotropic_gamma,persistent_lognorm,0.41880000000000006,0.3978316833206535
adhesion,isotropic_gamma,persistent_gamma,0.5236,0.2614063282915842
adhesion,isotropic_gamma,persistent_weibull,0.44199999999999995,0.3316931847529635
adhesion,isotropic_weibull,persistent_lognorm,0.3012,0.5254672143893023
adhesion,isotropic_weibull,persistent_gamma,0.4627999999999998,0.325656915027429
adhesion,isotropic_weibull,persistent_weibull,0.4461999999999998,0.32888498321299975
adhesion,persistent_lognorm,persistent_gamma,0.39400000000000013,0.3823607657963036
adhesion,persistent_lognorm,persistent_weibull,0.4017999999999999,0.4065248015540307
adhesion,persistent_gamma,persistent_weibull,0.4724000000000002,0.33580176549439966
fragment_rate,isotropic_lognorm,isotropic_gamma,0.5892000000000001,0.23360194840499432
fragment_rate,isotropic_lognorm,isotropic_weibull,0.5378000000000002,0.25649238741926983
fragment_rate,isotropic_lognorm,persistent_lognorm,0.5052000000000002,0.2732166146270777
fragment_rate,isotropic_lognorm,persistent_gamma,0.5423999999999998,0.25136023568890464
fragment_rate,isotropic_lognorm,persistent_weibull,0.5415999999999995,0.2464901316322759
fragment_rate,isotropic_gamma,isotropic_weibull,0.5217999999999998,0.2691994294865583
fragment_rate,isotropic_gamma,persistent_lognorm,0.5454,0.2389183089181212
fragment_rate,isotropic_gamma,persistent_gamma,0.46420000000000006,0.31723226682847455
fragment_rate,isotropic_gamma,persistent_weibull,0.4956000000000002,0.29457460750083153
fragment_rate,isotropic_weibull,persistent_lognorm,0.47520000000000007,0.3023354741378545
fragment_rate,isotropic_weibull,persistent_gamma,0.5053999999999997,0.2863197621101319
fragment_rate,isotropic_weibull,persistent_weibull,0.4996000000000002,0.26534021136345176
fragment_rate,persistent_lognorm,persistent_gamma,0.516,0.2503465760725182
fragment_rate,persistent_lognorm,persistent_weibull,0.4861999999999998,0.2725462837863776
fragment_rate,persistent_gamma,persistent_weibull,0.5124,0.2556436746482511
heading_sigma,persistent_lognorm,persistent_gamma,0.4685999999999998,0.3398972647940982
heading_sigma,persistent_lognorm,persistent_weibull,0.4945999999999998,0.2929601980738207
heading_sigma,persistent_gamma,persistent_weibull,0.5315999999999999,0.2631559736019372
merge_prob,isotropic_lognorm,isotropic_gamma,0.5736000000000003,0.21548308785974474
merge_prob,isotropic_lognorm,isotropic_weibull,0.46440000000000003,0.3111870679097324
merge_prob,isotropic_lognorm,persistent_lognorm,0.40839999999999993,0.4100383495148382
merge_prob,isotropic_lognorm,persistent_gamma,0.5266000000000004,0.23834661964664097
merge_prob,isotropic_lognorm,persistent_weibull,0.5261999999999998,0.25920641873888883
merge_prob,isotropic_gamma,isotropic_weibull,0.49620000000000025,0.27302370989110936
merge_prob,isotropic_gamma,persistent_lognorm,0.37900000000000045,0.43669635996236666
merge_prob,isotropic_gamma,persistent_gamma,0.4490000000000001,0.33483314569948064
merge_prob,isotropic_gamma,persistent_weibull,0.4839999999999999,0.2893083973671944
merge_prob,isotropic_weibull,persistent_lognorm,0.38379999999999986,0.45626445663198445
merge_prob,isotropic_weibull,persistent_gamma,0.41719999999999946,0.3825881625782066
merge_prob,isotropic_weibull,persistent_weibull,0.5187999999999999,0.2757539450211859
merge_prob,persistent_lognorm,persistent_gamma,0.48180000000000006,0.2865561133682146
merge_prob,persistent_lognorm,persistent_weibull,0.4787999999999998,0.3333092210007256
merge_prob,persistent_gamma,persistent_weibull,0.4697999999999998,0.29575125498621435
prolif_rate,isotropic_lognorm,isotropic_gamma,0.5121999999999992,0.300372787733158
prolif_rate,isotropic_lognorm,isotropic_weibull,0.5220000000000011,0.277517711719988
prolif_rate,isotropic_lognorm,persistent_lognorm,0.09200000000000015,0.8264637278815953
prolif_rate,isotropic_lognorm,persistent_gamma,0.4445999999999992,0.35133794490114756
prolif_rate,isotropic_lognorm,persistent_weibull,0.5288000000000002,0.2660035788860079
prolif_rate,isotropic_gamma,isotropic_weibull,0.4004000000000015,0.42378208428707675
prolif_rate,isotropic_gamma,persistent_lognorm,0.1377999999999998,0.8059196693361292
prolif_rate,isotropic_gamma,persistent_gamma,0.48839999999999906,0.34574853796061267
prolif_rate,isotropic_gamma,persistent_weibull,0.4790000000000003,0.3251699671178174
prolif_rate,isotropic_weibull,persistent_lognorm,0.062199999999999894,0.8661966292059158
prolif_rate,isotropic_weibull,persistent_gamma,0.4476000000000002,0.3513458016459634
prolif_rate,isotropic_weibull,persistent_weibull,0.4393999999999994,0.3392237899425926
prolif_rate,persistent_lognorm,persistent_gamma,0.22259999999999983,0.664402373385339
prolif_rate,persistent_lognorm,persistent_weibull,0.15720000000000012,0.7604263341311979
prolif_rate,persistent_gamma,persistent_weibull,0.5369999999999999,0.24396511214857886
speed_meanlog,isotropic_lognorm,persistent_lognorm,0.38680000000000003,0.4062560584530593
speed_scale,isotropic_gamma,isotropic_weibull,0.10480000000000016,0.7986026953509894
speed_scale,isotropic_gamma,persistent_gamma,0.3136,0.5725040958305894
speed_scale,isotropic_gamma,persistent_weibull,0.29699999999999993,0.5074084709757137
speed_scale,isotropic_weibull,persistent_gamma,0.0,0.9999999999639327
speed_scale,isotropic_weibull,persistent_weibull,0.0,0.9999999999711462
speed_scale,persistent_gamma,persistent_weibull,0.20540000000000003,0.6420429504216667
speed_sdlog,isotropic_lognorm,persistent_lognorm,0.3896,0.3892458497597927
speed_shape,isotropic_gamma,isotropic_weibull,0.45139999999999997,0.3921772533165997
speed_shape,isotropic_gamma,persistent_gamma,0.47119999999999995,0.33786637221001203
speed_shape,isotropic_gamma,persistent_weibull,0.43420000000000025,0.41177642607022774
speed_shape,isotropic_weibull,persistent_gamma,0.3283999999999998,0.4967676928297745
speed_shape,isotropic_weibull,persistent_weibull,0.5119999999999997,0.2673792952928479
speed_shape,persistent_gamma,persistent_weibull,0.4062,0.41287581605483903
