timestep,S0,S1,S2,NND_med,g_r40,g_r80
22,353.5,4.852899576,59.69306931,41.61939886,0.818548248,0.8742074
23,344.5,4.984034833,61.05370102,43.53471772,0.719259414,0.907422199
24,339.5,4.898379971,60.78645066,45.04091849,0.74935155,0.827256785
25,336,4.818452381,51.3452381,44.261462,0.837977338,0.920930366
26,318,4.880503145,53.18553459,44.84138745,0.782556781,0.852414592
27,316,5.056962025,56.65506329,46.21655588,0.728475872,0.851838832
28,309.5,4.783521809,47.53311793,46.77060707,0.634987872,0.862626631
29,303.5,4.800658979,47.17957166,47.40615535,0.620703034,0.836001653
30,296,4.918918919,53.68918919,47.60766792,0.612558058,0.928286755
31,288.5,4.752166378,46.48526863,47.63517557,0.776018733,0.811811078
32,281.5,4.928952043,58.31438721,48.91038103,0.469604492,0.86247185
33,275.5,4.958257713,56.35208711,48.96931528,0.538800255,0.793485936
34,270.5,5.053604436,57.11645102,50.23189525,0.547561227,0.856917959
35,263.5,5.161290323,62.4743833,51.03120224,0.561308288,0.987235097
36,258.5,5.112185687,59.27852998,51.31221116,0.499386346,1.005476493
37,251,5.282868526,60.19123506,52.01644204,0.493103935,1.111509145
38,248,5.423387097,65.29435484,53.08896033,0.425132703,0.918162603
39,238,5.609243697,64.74369748,53.1567268,0.331372356,0.805144864
40,234.5,5.622601279,61.23454158,54.14474797,0.208899668,0.991855589
41,230,5.52173913,59.4173913,55.91942893,0.357465396,0.951829515
42,223,5.697309417,61.70179372,55.70142736,0.342588132,1.103513137
43,211,6.090047393,67.70616114,56.83715444,0.341243791,0.963915369
44,209,6.169856459,69.5430622,59.05174014,0.146882411,1.090785662
45,204.5,6.261613692,70.36919315,60.95654225,0.185220278,1.042504994
46,201.5,6.255583127,72.75186104,60.6691283,0.127350928,1.091775816
47,190,6.381578947,74.99736842,62.15309489,0.193273362,1.061681612
48,188,6.670212766,81.94148936,62.81892342,0.256376099,1.061650491
49,180.5,6.947368421,87.01385042,62.76646161,0.228805131,1.067445374
50,180.5,6.994459834,88.71745152,63.3405314,0.168144748,0.826133372
51,175,7.197142857,95.54571429,62.85433342,0.207652719,0.929668442
52,174,7.49137931,108.5028736,62.48567134,0.132160555,1.118458246
53,167.5,7.788059701,115.2447761,63.74004236,0.176944045,0.982450442
54,160,8.3125,130.28125,66.02610923,0.145476325,0.862287083
55,156,8.474358974,132.9551282,65.56075131,0.057186411,0.795106962
56,153,8.797385621,148.9738562,66.6384297,0.098216244,0.92947379
57,147,9.37414966,169.3809524,67.4662143,0.110327438,0.928439469
58,141,9.815602837,188.4113475,68.20341798,0.126907621,0.877093049
59,139,9.90647482,189.9496403,70.74248362,0.130367698,0.793726247
60,136.5,10.15750916,195.2197802,69.72004751,0.070577328,0.935000416
61,134.5,10.23420074,190.3085502,71.99536306,0.143809193,0.931132459
62,130.5,10.6091954,198.0268199,72.63601225,0.150688538,0.797481649
63,128.5,10.88326848,208.540856,74.11259249,0.077528003,0.730238516
64,127.5,11.09019608,234.1019608,74.78100512,0,1.047720649
65,118,12.29661017,284.1864407,72.83210776,0.251940016,0.867922199
66,115.5,12.97402597,317.5021645,77.6612296,0,1.061782665
67,115.5,12.995671,309.3160173,78.77848565,0,0.730063406
68,110.5,13.62443439,350.6199095,76.28240639,0,0.621409018
69,105.5,14.43127962,399.92891,78.74418292,0,0.660772113
70,103.5,15.01932367,477.0096618,78.74307263,0,0.784088272
71,101.5,15.57142857,498.3793103,80.60156145,0.132860021,1.075779972
72,98.5,15.82233503,504.8883249,82.27127081,0,0.7202536
73,98,15.92857143,503.5714286,85.62687859,0,0.836517158
74,95.5,16.14659686,505.2460733,81.78605809,0,1.031895781
